topic,term,weight
000,tamanuiterā,0.045719255
000,rangi,0.035202447
000,māui,0.05392561
000,ake,0.04307122
000,hoki,0.03326469
000,rā,0.04873029
000,ana,0.036766686
000,ngā,0.0574355
000,kore,0.022542667
000,mō,0.022656554
001,maui,0.09766073
001,ika,0.07729533
001,hii,0.0686159
001,rakau,0.060963742
001,tuakana,0.0536249
001,tona,0.032503117
001,raro,0.02951619
001,nga,0.030272739
001,kata,0.026600908
001,purua,0.023188135
002,rātau,0.061585184
002,ā,0.046470106
002,rā,0.05972521
002,tuākana,0.04087722
002,ngā,0.06308503
002,pō,0.024071068
002,wāhi,0.024759447
002,hoki,0.030932827
002,ōna,0.030113325
002,rua,0.020486074
003,tātau,0.042263832
003,ngā,0.06757628
003,tuākana,0.039061207
003,ōna,0.03714017
003,whare,0.025128407
003,rua,0.027745174
003,tonu,0.029245313
003,hanga,0.02015482
003,tohutohu,0.02001409
003,nāianei,0.018668015
004,rā,0.09136322
004,tātau,0.05233627
004,tonu,0.041689415
004,ā,0.041304212
004,mua,0.033238668
004,tōna,0.03896338
004,koe,0.032264475
004,mahi,0.035442352
004,ake,0.040362842
004,tere,0.022819757
005,taura,0.20477016
005,ngā,0.12702067
005,kia,0.06484993
005,māui,0.06090789
005,whānau,0.034169693
005,harakeke,0.034169693
005,roa,0.020158848
005,whakamaua,0.018927677
005,toa,0.018316586
005,tamanuiterā,0.024119083
006,taea,0.059417848
006,mahi,0.05451122
006,āwhina,0.041124698
006,kauae,0.040260304
006,iwi,0.03862603
006,hoki,0.039409623
006,atu,0.050801005
006,ana,0.03758335
006,whakaaro,0.019317992
006,hopu,0.020644544
007,rarangi,0.06467863
007,tatou,0.047671646
007,katia,0.046732824
007,atu,0.0631779
007,ika,0.05669016
007,kii,0.044033814
007,ratou,0.041714255
007,nga,0.03667201
007,koha,0.030261189
007,maui,0.046946492
008,tuakana,0.087087676
008,tatahi,0.06592137
008,hii,0.067764856
008,ika,0.068662204
008,maui,0.057377268
008,reira,0.03128379
008,taha,0.028856134
008,haramai,0.028856134
008,ngatahi,0.028856134
008,rangatahi,0.028856134
009,pōuri,0.067976385
009,tētahi,0.0635185
009,ana,0.06027079
009,rātau,0.060817707
009,māui,0.05615068
009,tū,0.030266363
009,whakawera,0.02913337
009,hōhā,0.02913337
009,hākari,0.02913337
009,kōrero,0.02913337
