topic,term,weight
000,emission,0.052034132
000,bill,0.030202921
000,reduce,0.025358763
000,carbon,0.04860121
000,act,0.01761517
000,program,0.013040372
000,farm,0.010000894
000,net,0.009962168
000,cut,0.010411069
000,economy,0.0095495945
001,important,0.086531825
001,nz,0.05040561
001,future,0.03874493
001,world,0.035425447
001,consult,0.029576048
001,matt,0.029456934
001,stakeholder,0.026757453
001,feedback,0.026643047
001,issue,0.028192708
001,country,0.01988052
002,government,0.115777254
002,finally,0.06156474
002,key,0.04792214
002,please,0.0420771
002,part,0.0380254
002,set,0.033509206
002,serve,0.03029984
002,transparency,0.028715245
002,take,0.033755917
002,scary,0.020516666
003,document,0.06872628
003,long,0.05765315
003,discussion,0.06172091
003,time,0.047661547
003,fantastic,0.042396016
003,critical,0.03732296
003,procrastination,0.03204988
003,zealand,0.03407588
003,legislation,0.032424733
003,write,0.025672644
004,information,0.12153015
004,share,0.06808639
004,good,0.05771122
004,attach,0.046622377
004,make,0.05379764
004,document,0.051712405
004,supplementary,0.039911747
004,public,0.03503863
004,decision,0.030326888
004,sound,0.026660336
005,report,0.13579951
005,mandatory,0.06356029
005,organisation,0.060215387
005,focus,0.043342903
005,contestable,0.041124575
005,require,0.036899127
005,requirement,0.036759414
005,transparency,0.034751117
005,management,0.029654387
005,mandate,0.029246138
006,action,0.19082564
006,take,0.082492344
006,asap,0.071007594
006,cop,0.051841624
006,visionary,0.051841617
006,time,0.044239633
006,legislate,0.028233021
006,begin,0.027512912
006,ensure,0.026590865
006,need,0.0233965
007,publish,0.012393447
007,anonymous,0.0048841885
007,flaw,0.0036920414
007,remain,0.00402797
007,argument,0.0033244875
007,uptake,0.005414019
007,tree,0.0035026064
007,totally,0.005537231
007,debate,0.0033779778
007,renewable,0.0028264057
008,climate,0.64622957
008,change,0.15296991
008,government,0.08601979
008,make,0.052813154
008,current,0.024061352
008,people,0.01776923
008,system,0.010232406
009,support,0.55271
009,carbon,0.27197492
009,pass,0.17531505
