topic,term,weight
000,future,0.052680425
000,work,0.04049393
000,important,0.0458398
000,green,0.029000932
000,country,0.029050583
000,generation,0.021251926
000,policy,0.02003124
000,clean,0.01826601
000,act,0.021079408
000,kid,0.015781336
001,issue,0.07793963
001,climate,0.046610046
001,party,0.04162657
001,effect,0.03978515
001,work,0.035376802
001,engagement,0.030500093
001,active,0.028885953
001,handle,0.02868677
001,congratulation,0.02872793
001,change,0.034182627
002,emission,0.11570353
002,important,0.0862869
002,carbon,0.07416282
002,reduce,0.06442864
002,program,0.05130959
002,focus,0.04670449
002,act,0.04202552
002,cut,0.037868105
002,asap,0.036663577
002,waste,0.025089016
003,time,0.13279434
003,long,0.07370009
003,zealand,0.059762213
003,crack,0.052592132
003,target,0.04890697
003,bold,0.041554544
003,gut,0.03814044
003,essence,0.038140576
003,implement,0.038056854
003,undertake,0.034632348
004,important,0.13506885
004,world,0.110541485
004,nz,0.10672064
004,crucially,0.052913915
004,leader,0.04057271
004,small,0.03521353
004,country,0.03783156
004,area,0.02798521
004,population,0.023661507
004,global,0.024551077
005,impact,0.14565592
005,international,0.092633724
005,tourism,0.088754885
005,include,0.07986587
005,border,0.06521611
005,risk,0.048607178
005,respond,0.03820408
005,track,0.036587495
005,air,0.023695277
005,organisation,0.02354485
006,environment,0.17738117
006,ministry,0.13542363
006,website,0.14011948
006,exclude,0.09715516
006,precious,0.09159015
006,preserve,0.083614506
006,gift,0.08361192
006,consent,0.03672412
006,withhold,0.023180606
006,post,0.022057272
007,waste,0.13210699
007,money,0.09314521
007,program,0.09072642
007,carbon,0.08105112
007,change,0.06984367
007,people,0.058780532
007,emission,0.0544948
007,country,0.04519163
007,benefit,0.037449554
007,issue,0.03198842
008,change,0.16592634
008,system,0.12883617
008,current,0.12485177
008,focus,0.048579704
008,business,0.027052004
008,kid,0.014750724
008,ambitious,0.013986404
008,front,0.013190558
008,relieve,0.011923948
008,proposal,0.011370363
009,information,0.32275966
009,share,0.13915023
009,good,0.13327816
009,attach,0.120531246
009,make,0.07190349
009,sound,0.06491089
009,public,0.05634822
009,decision,0.050314948
009,supply,0.040803183
010,action,0.36835292
010,cop,0.15213133
010,visionary,0.15212548
010,moral,0.060785208
010,need,0.05392617
010,start,0.041056473
010,pragmatic,0.037705194
010,perspective,0.03721963
010,time,0.04043795
010,ignore,0.028860863
011,address,0.3107191
011,email,0.2750687
011,disclose,0.2066208
011,phone,0.04353187
011,site,0.03932667
011,web,0.024624614
011,e.mail,0.023318183
011,note,0.033244178
011,surname,0.008547078
011,share,0.013646483
012,priority,0.1761363
012,top,0.16534746
012,govt's,0.16323294
012,regard,0.16322152
012,focus,0.0401319
012,people,0.036300775
012,address,0.045425277
012,supplementary,0.025131313
012,ministry,0.01628344
012,usual,0.01135216
013,tax,0.23724855
013,ev,0.17451127
013,subsidy,0.17051528
013,back,0.16901778
013,electric,0.035639726
013,good,0.029145714
013,introduce,0.022838661
013,vehicle,0.016341006
013,incentive,0.016149137
013,gst,0.013034813
014,answer,0.19859684
014,case,0.19322242
014,tick,0.19282989
014,box,0.19252184
014,business,0.049465913
014,country,0.015036915
014,focus,0.01698564
014,bill,0.028850535
014,time,0.017615395
014,key,0.016996857
015,document,0.31652653
015,fantastic,0.2984112
015,discussion,0.28003076
015,putt,0.036301635
015,provide,0.023489984
015,consultation,0.022454092
015,easy,0.011717514
015,straightforward,0.011068319
016,level,0.21933216
016,high,0.20494124
016,urgency,0.2029609
016,prioritise,0.20183815
016,business,0.027950712
016,agriculture,0.016041243
016,bill,0.034151934
016,massive,0.013707493
016,emission,0.01914937
016,work,0.009518109
017,support,0.4390968
017,strongly,0.14250778
017,initiative,0.14359055
017,bill,0.15324016
017,industry,0.036348034
017,farm,0.03161952
017,hemp,0.025872095
017,direction,0.027725063
018,dairy,0.24807195
018,stock,0.24768895
018,beef,0.24630238
018,lessen,0.24546067
019,direction,0.08174109
019,usual,0.053212166
019,waste,0.052739352
019,program,0.048320893
019,submission,0.034660995
019,reduce,0.030636154
019,precious,0.029321374
019,act,0.027776355
019,government,0.028351175
019,money,0.026552333
020,bill,0.37915838
020,emission,0.04055138
020,tree,0.029727938
020,long,0.031076776
020,initiative,0.030255836
020,area,0.023750903
020,policy,0.022301191
020,make,0.021326063
020,completely,0.014691308
020,word,0.0144102415
021,approach,0.3418278
021,integrate,0.329517
021,collaborative,0.32865518
022,collaboration,0.33761188
022,essential,0.3335809
022,agency,0.3288072
023,publish,0.44323286
023,detail,0.23462844
023,website,0.17865817
023,consent,0.08791729
023,submission,0.043435633
023,private,0.0121276
024,environment,0.04497236
024,note,0.042931452
024,fantastic,0.039051518
024,emission,0.03660018
024,long,0.03029156
024,discussion,0.035055466
024,precious,0.025638603
024,government,0.024251204
024,economic,0.019004708
024,preserve,0.021717291
025,support,0.69238317
025,carbon,0.029509988
025,decision,0.023054235
025,put,0.015810458
025,tree,0.015868908
025,economic,0.011443903
025,pass,0.010778524
025,difference,0.0089967195
025,plant,0.00911576
025,live,0.008823426
026,information,0.7575248
026,note,0.1177957
026,additional,0.07108766
026,site,0.011701745
026,disclose,0.014220106
026,web,0.0070592184
026,e.mail,0.006332564
027,information,0.3948641
027,attach,0.34979916
027,additional,0.12866443
027,note,0.12667231
028,part,0.37879884
028,key,0.33219087
028,take,0.16582868
028,finally,0.049061563
028,government,0.044237975
028,scary,0.029882051
029,time,0.1104484
029,focus,0.059058674
029,effect,0.047978457
029,document,0.051473618
029,reduce,0.042304225
029,address,0.0497674
029,bold,0.03489119
029,initiative,0.03678464
029,share,0.036827877
029,start,0.030104717
