docname,topic,proportion
comments.json:30,001,1.0
comments.json:65,000,0.612269
comments.json:65,007,0.251303
comments.json:65,001,0.087049
comments.json:65,004,0.049379
comments.json:100,000,0.805761
comments.json:100,008,0.194239
comments.json:135,008,1.0
comments.json:170,000,1.0
comments.json:205,004,1.0
comments.json:240,008,1.0
comments.json:275,004,1.0
comments.json:310,000,1.0
comments.json:345,000,1.0
comments.json:380,000,1.0
comments.json:415,001,1.0
comments.json:450,008,1.0
comments.json:485,000,1.0
comments.json:520,008,1.0
comments.json:555,004,1.0
comments.json:570,007,1.0
comments.json:605,008,1.0
comments.json:640,005,1.0
comments.json:675,008,1.0
comments.json:710,008,1.0
comments.json:745,001,1.0
comments.json:780,000,1.0
comments.json:815,007,1.0
comments.json:850,007,1.0
comments.json:885,000,1.0
comments.json:920,000,1.0
comments.json:955,000,1.0
comments.json:990,007,1.0
comments.json:1025,008,1.0
comments.json:1060,000,1.0
comments.json:1095,007,1.0
comments.json:1130,000,1.0
comments.json:1165,000,1.0
comments.json:1200,007,1.0
comments.json:1235,000,1.0
comments.json:10,007,1.0
comments.json:45,000,1.0
comments.json:80,007,1.0
comments.json:115,000,0.677579
comments.json:115,007,0.322421
comments.json:150,000,1.0
comments.json:185,001,1.0
comments.json:220,000,1.0
comments.json:255,000,0.551005
comments.json:255,007,0.448995
comments.json:290,007,1.0
comments.json:325,007,1.0
comments.json:360,007,1.0
comments.json:395,000,1.0
comments.json:430,000,0.630413
comments.json:430,007,0.175767
comments.json:430,004,0.075086
comments.json:430,008,0.067138
comments.json:430,001,0.051597
comments.json:465,000,0.651739
comments.json:465,007,0.09771
comments.json:465,008,0.086781
comments.json:465,002,0.060873
comments.json:465,009,0.039749
comments.json:465,001,0.03692
comments.json:465,003,0.014349
comments.json:465,005,0.011878
comments.json:500,008,1.0
comments.json:535,000,1.0
comments.json:585,007,1.0
comments.json:620,000,1.0
comments.json:655,007,1.0
comments.json:690,000,1.0
comments.json:725,001,1.0
comments.json:760,007,1.0
comments.json:795,000,1.0
comments.json:830,001,1.0
comments.json:865,000,1.0
comments.json:900,000,1.0
comments.json:935,000,0.78497
comments.json:935,007,0.21503
comments.json:970,000,1.0
comments.json:1005,007,1.0
comments.json:1040,000,0.683404
comments.json:1040,007,0.316596
comments.json:1075,007,1.0
comments.json:1110,000,1.0
comments.json:1145,008,1.0
comments.json:1180,007,1.0
comments.json:1215,007,1.0
comments.json:2,000,0.701357
comments.json:2,007,0.172665
comments.json:2,008,0.125978
comments.json:37,006,1.0
comments.json:72,000,1.0
comments.json:107,007,1.0
comments.json:142,008,1.0
comments.json:177,002,1.0
comments.json:212,008,1.0
comments.json:247,008,1.0
comments.json:282,000,1.0
comments.json:317,007,1.0
comments.json:352,007,1.0
comments.json:387,000,1.0
comments.json:422,000,1.0
comments.json:457,008,1.0
comments.json:492,007,1.0
comments.json:527,004,1.0
comments.json:577,007,1.0
comments.json:612,007,1.0
comments.json:647,004,1.0
comments.json:682,003,1.0
comments.json:717,001,1.0
comments.json:752,000,1.0
comments.json:787,008,1.0
comments.json:822,002,1.0
comments.json:857,000,1.0
comments.json:892,000,1.0
comments.json:927,007,1.0
comments.json:962,000,1.0
comments.json:997,000,1.0
comments.json:1032,003,1.0
comments.json:1067,005,1.0
comments.json:1102,004,1.0
comments.json:1137,004,1.0
comments.json:1172,008,1.0
comments.json:1207,001,1.0
comments.json:23,004,1.0
comments.json:58,007,1.0
comments.json:93,000,1.0
comments.json:128,007,1.0
comments.json:163,000,1.0
comments.json:198,007,1.0
comments.json:233,001,1.0
comments.json:268,007,1.0
comments.json:303,001,1.0
comments.json:338,007,1.0
comments.json:373,008,1.0
comments.json:408,007,1.0
comments.json:443,000,1.0
comments.json:478,002,1.0
comments.json:513,000,0.590497
comments.json:513,007,0.409503
comments.json:548,000,0.521186
comments.json:548,007,0.260597
comments.json:548,006,0.218218
comments.json:563,000,0.663014
comments.json:563,007,0.336986
comments.json:598,007,1.0
comments.json:633,000,1.0
comments.json:668,008,1.0
comments.json:703,000,1.0
comments.json:738,000,1.0
comments.json:773,007,1.0
comments.json:808,000,1.0
comments.json:843,007,1.0
comments.json:878,007,1.0
comments.json:913,007,1.0
comments.json:948,005,1.0
comments.json:983,000,1.0
comments.json:1018,007,1.0
comments.json:1053,001,1.0
comments.json:1088,008,1.0
comments.json:1123,000,1.0
comments.json:1158,000,0.502365
comments.json:1158,007,0.497635
comments.json:1193,000,1.0
comments.json:1228,007,1.0
comments.json:19,000,0.649138
comments.json:19,001,0.156473
comments.json:19,003,0.108715
comments.json:19,007,0.085675
comments.json:54,008,1.0
comments.json:89,000,1.0
comments.json:124,000,0.686648
comments.json:124,007,0.247131
comments.json:124,004,0.066221
comments.json:159,000,1.0
comments.json:194,007,1.0
comments.json:229,001,1.0
comments.json:264,002,1.0
comments.json:299,000,1.0
comments.json:334,000,0.788851
comments.json:334,007,0.211149
comments.json:369,007,1.0
comments.json:404,000,1.0
comments.json:439,000,1.0
comments.json:474,008,1.0
comments.json:509,007,1.0
comments.json:544,001,1.0
comments.json:594,007,1.0
comments.json:629,000,1.0
comments.json:664,000,1.0
comments.json:699,008,1.0
comments.json:734,000,1.0
comments.json:769,004,1.0
comments.json:804,000,1.0
comments.json:839,007,1.0
comments.json:874,007,1.0
comments.json:909,008,1.0
comments.json:944,000,1.0
comments.json:979,000,0.582032
comments.json:979,007,0.130221
comments.json:979,004,0.119781
comments.json:979,002,0.11329
comments.json:979,001,0.054677
comments.json:1014,000,0.550403
comments.json:1014,007,0.17124
comments.json:1014,001,0.136786
comments.json:1014,008,0.094915
comments.json:1014,002,0.046656
comments.json:1049,007,1.0
comments.json:1084,000,1.0
comments.json:1119,004,1.0
comments.json:1154,007,1.0
comments.json:1189,008,1.0
comments.json:1224,000,0.648992
comments.json:1224,007,0.351008
comments.json:7,004,0.293779
comments.json:7,005,0.248652
comments.json:7,000,0.222697
comments.json:7,001,0.118625
comments.json:7,008,0.116247
comments.json:42,000,1.0
comments.json:77,007,1.0
comments.json:112,002,1.0
comments.json:147,000,1.0
comments.json:182,002,1.0
comments.json:217,003,1.0
comments.json:252,007,1.0
comments.json:287,007,1.0
comments.json:322,000,0.615222
comments.json:322,008,0.120154
comments.json:322,007,0.109507
comments.json:322,001,0.105563
comments.json:322,009,0.035109
comments.json:322,003,0.014445
comments.json:357,007,1.0
comments.json:392,001,1.0
comments.json:427,007,1.0
comments.json:462,000,1.0
comments.json:497,000,1.0
comments.json:532,007,1.0
comments.json:582,000,1.0
comments.json:617,000,1.0
comments.json:652,000,1.0
comments.json:687,005,1.0
comments.json:722,007,1.0
comments.json:757,000,1.0
comments.json:792,007,1.0
comments.json:827,007,1.0
comments.json:862,007,1.0
comments.json:897,000,1.0
comments.json:932,007,1.0
comments.json:967,000,1.0
comments.json:1002,000,1.0
comments.json:1037,004,1.0
comments.json:1072,002,1.0
comments.json:1107,001,1.0
comments.json:1142,007,1.0
comments.json:1177,000,0.718106
comments.json:1177,007,0.238834
comments.json:1177,008,0.043059
comments.json:1212,007,1.0
comments.json:17,007,1.0
comments.json:52,000,1.0
comments.json:87,004,1.0
comments.json:122,001,1.0
comments.json:157,000,1.0
comments.json:192,007,1.0
comments.json:227,000,0.716179
comments.json:227,007,0.283821
comments.json:262,007,1.0
comments.json:297,007,1.0
comments.json:332,001,1.0
comments.json:367,006,1.0
comments.json:402,002,1.0
comments.json:437,001,1.0
comments.json:472,000,1.0
comments.json:507,008,1.0
comments.json:542,000,1.0
comments.json:592,000,1.0
comments.json:627,000,1.0
comments.json:662,007,1.0
comments.json:697,007,1.0
comments.json:732,000,1.0
comments.json:767,000,1.0
comments.json:802,000,1.0
comments.json:837,001,1.0
comments.json:872,000,1.0
comments.json:907,007,1.0
comments.json:942,000,0.583719
comments.json:942,007,0.416281
comments.json:977,007,1.0
comments.json:1012,007,1.0
comments.json:1047,007,1.0
comments.json:1082,004,1.0
comments.json:1117,007,1.0
comments.json:1152,008,1.0
comments.json:1187,000,1.0
comments.json:1222,000,0.688019
comments.json:1222,004,0.132306
comments.json:1222,007,0.098626
comments.json:1222,008,0.081049
comments.json:24,003,1.0
comments.json:59,005,1.0
comments.json:94,007,1.0
comments.json:129,007,1.0
comments.json:164,000,1.0
comments.json:199,002,1.0
comments.json:234,007,1.0
comments.json:269,000,1.0
comments.json:304,000,1.0
comments.json:339,007,1.0
comments.json:374,001,1.0
comments.json:409,004,1.0
comments.json:444,000,1.0
comments.json:479,007,1.0
comments.json:514,008,1.0
comments.json:549,007,1.0
comments.json:564,007,1.0
comments.json:599,007,1.0
comments.json:634,007,1.0
comments.json:669,000,1.0
comments.json:704,007,1.0
comments.json:739,000,0.64207
comments.json:739,007,0.357931
comments.json:774,008,1.0
comments.json:809,001,1.0
comments.json:844,007,1.0
comments.json:879,000,1.0
comments.json:914,000,1.0
comments.json:949,007,1.0
comments.json:984,000,0.586329
comments.json:984,007,0.413671
comments.json:1019,000,0.792135
comments.json:1019,007,0.207865
comments.json:1054,007,1.0
comments.json:1089,000,1.0
comments.json:1124,003,1.0
comments.json:1159,007,1.0
comments.json:1194,000,1.0
comments.json:1229,000,0.613507
comments.json:1229,007,0.386493
comments.json:22,001,1.0
comments.json:57,001,1.0
comments.json:92,002,1.0
comments.json:127,007,1.0
comments.json:162,007,1.0
comments.json:197,007,1.0
comments.json:232,000,0.701159
comments.json:232,007,0.298841
comments.json:267,007,1.0
comments.json:302,000,1.0
comments.json:337,000,1.0
comments.json:372,001,1.0
comments.json:407,008,1.0
comments.json:442,000,1.0
comments.json:477,000,1.0
comments.json:512,000,1.0
comments.json:547,000,0.624491
comments.json:547,007,0.375509
comments.json:562,007,1.0
comments.json:597,007,1.0
comments.json:632,008,1.0
comments.json:667,000,1.0
comments.json:702,000,1.0
comments.json:737,007,1.0
comments.json:772,007,1.0
comments.json:807,002,1.0
comments.json:842,001,1.0
comments.json:877,000,1.0
comments.json:912,000,1.0
comments.json:947,007,1.0
comments.json:982,000,1.0
comments.json:1017,000,1.0
comments.json:1052,007,1.0
comments.json:1087,003,1.0
comments.json:1122,000,0.454614
comments.json:1122,001,0.275657
comments.json:1122,007,0.269729
comments.json:1157,007,1.0
comments.json:1192,004,1.0
comments.json:1227,007,1.0
comments.json:15,000,1.0
comments.json:50,001,1.0
comments.json:85,004,1.0
comments.json:120,008,1.0
comments.json:155,008,1.0
comments.json:190,007,1.0
comments.json:225,002,1.0
comments.json:260,000,1.0
comments.json:295,007,1.0
comments.json:330,007,1.0
comments.json:365,003,1.0
comments.json:400,000,1.0
comments.json:435,007,1.0
comments.json:470,000,1.0
comments.json:505,001,1.0
comments.json:540,008,1.0
comments.json:590,008,1.0
comments.json:625,000,1.0
comments.json:660,008,1.0
comments.json:695,000,0.77514
comments.json:695,007,0.22486
comments.json:730,008,1.0
comments.json:765,001,1.0
comments.json:800,000,1.0
comments.json:835,007,1.0
comments.json:870,000,1.0
comments.json:905,000,0.778774
comments.json:905,007,0.221226
comments.json:940,007,1.0
comments.json:975,007,1.0
comments.json:1010,000,1.0
comments.json:1045,007,1.0
comments.json:1080,007,1.0
comments.json:1115,001,1.0
comments.json:1150,008,1.0
comments.json:1185,000,1.0
comments.json:1220,007,1.0
comments.json:14,008,1.0
comments.json:49,007,1.0
comments.json:84,006,1.0
comments.json:119,000,1.0
comments.json:154,008,1.0
comments.json:189,006,1.0
comments.json:224,000,1.0
comments.json:259,007,1.0
comments.json:294,007,1.0
comments.json:329,007,1.0
comments.json:364,008,1.0
comments.json:399,007,1.0
comments.json:434,007,1.0
comments.json:469,000,1.0
comments.json:504,008,1.0
comments.json:539,000,1.0
comments.json:589,008,1.0
comments.json:624,000,1.0
comments.json:659,001,1.0
comments.json:694,000,0.751963
comments.json:694,007,0.177261
comments.json:694,001,0.070775
comments.json:729,000,1.0
comments.json:764,004,1.0
comments.json:799,001,1.0
comments.json:834,000,1.0
comments.json:869,007,1.0
comments.json:904,004,1.0
comments.json:939,008,1.0
comments.json:974,004,1.0
comments.json:1009,000,1.0
comments.json:1044,007,1.0
comments.json:1079,001,1.0
comments.json:1114,001,1.0
comments.json:1149,000,1.0
comments.json:1184,007,1.0
comments.json:1219,001,1.0
comments.json:16,008,1.0
comments.json:51,000,1.0
comments.json:86,008,1.0
comments.json:121,008,1.0
comments.json:156,007,1.0
comments.json:191,008,1.0
comments.json:226,004,1.0
comments.json:261,000,1.0
comments.json:296,000,0.732922
comments.json:296,007,0.267078
comments.json:331,006,1.0
comments.json:366,007,1.0
comments.json:401,007,1.0
comments.json:436,001,1.0
comments.json:471,008,1.0
comments.json:506,007,1.0
comments.json:541,007,1.0
comments.json:591,007,1.0
comments.json:626,000,0.632398
comments.json:626,007,0.238539
comments.json:626,008,0.129063
comments.json:661,000,1.0
comments.json:696,000,0.589194
comments.json:696,007,0.410806
comments.json:731,000,0.668243
comments.json:731,007,0.331757
comments.json:766,007,1.0
comments.json:801,008,1.0
comments.json:836,000,0.472159
comments.json:836,001,0.164127
comments.json:836,008,0.1366
comments.json:836,004,0.113886
comments.json:836,007,0.113229
comments.json:871,008,1.0
comments.json:906,000,1.0
comments.json:941,000,0.758909
comments.json:941,007,0.241091
comments.json:976,000,1.0
comments.json:1011,000,0.707528
comments.json:1011,007,0.292472
comments.json:1046,007,1.0
comments.json:1081,007,1.0
comments.json:1116,000,1.0
comments.json:1151,007,1.0
comments.json:1186,000,1.0
comments.json:1221,007,1.0
comments.json:11,000,1.0
comments.json:46,007,1.0
comments.json:81,007,1.0
comments.json:116,000,1.0
comments.json:151,007,1.0
comments.json:186,003,1.0
comments.json:221,000,1.0
comments.json:256,007,1.0
comments.json:291,007,1.0
comments.json:326,000,0.692007
comments.json:326,007,0.307993
comments.json:361,007,1.0
comments.json:396,000,1.0
comments.json:431,000,1.0
comments.json:466,000,1.0
comments.json:501,000,0.713086
comments.json:501,007,0.286914
comments.json:536,001,1.0
comments.json:586,000,0.692614
comments.json:586,007,0.307386
comments.json:621,007,1.0
comments.json:656,007,1.0
comments.json:691,007,1.0
comments.json:726,007,1.0
comments.json:761,007,1.0
comments.json:796,000,1.0
comments.json:831,004,1.0
comments.json:866,000,1.0
comments.json:901,000,1.0
comments.json:936,007,1.0
comments.json:971,004,1.0
comments.json:1006,001,1.0
comments.json:1041,007,1.0
comments.json:1076,000,0.754318
comments.json:1076,007,0.245682
comments.json:1111,007,1.0
comments.json:1146,007,1.0
comments.json:1181,007,1.0
comments.json:1216,007,1.0
comments.json:12,002,1.0
